Strategy	n	k	time (ms)							
1	10000000	32	799.281							
1	10000000	32	763.994				Strat 1			
1	10000000	32	752.606				Average	758.9163333	Con Interval	9.781955976
1	10000000	32	824.545				STD	27.33620611		
1	10000000	32	786.271							
1	10000000	32	795.855							
1	10000000	32	740.158							
1	10000000	32	777.432							
1	10000000	32	816.089							
1	10000000	32	773.332				Strat 2			
1	10000000	32	753.77				Average	76.48960667	Con Interval	7.084662424
1	10000000	32	750.638				STD	19.7984731		
1	10000000	32	741.935							
1	10000000	32	744.22							
1	10000000	32	737.224							
1	10000000	32	721.902							
1	10000000	32	755.395							
1	10000000	32	749.237							
1	10000000	32	724.625				Strat 3			
1	10000000	32	741.161				Average	151.9406667	Con Interval	3.823747747
1	10000000	32	741.522				STD	10.68567031		
1	10000000	32	732.45							
1	10000000	32	756.795							
1	10000000	32	723.003							
1	10000000	32	719.518							
1	10000000	32	760.547							
1	10000000	32	758.39							
1	10000000	32	753.642							
1	10000000	32	787.153							
1	10000000	32	784.8				Strat 4			
2	10000000	32	51.9922				Average	16.55178333	Con Interval	0.278850328
2	10000000	32	94.8417				STD	0.779262354		
2	10000000	32	35.6032							
2	10000000	32	110.396							
2	10000000	32	61.5504							
2	10000000	32	86.9094							
2	10000000	32	65.9294							
2	10000000	32	85.0486							
2	10000000	32	92.3051							
2	10000000	32	77.3072							
2	10000000	32	99.9964							
2	10000000	32	77.4549							
2	10000000	32	111.11							
2	10000000	32	56.2154							
2	10000000	32	46.7032							
2	10000000	32	79.8005							
2	10000000	32	63.7045							
2	10000000	32	49.7713							
2	10000000	32	74.2052							
2	10000000	32	66.1444							
2	10000000	32	59.0755							
2	10000000	32	81.1485							
2	10000000	32	92.4945							
2	10000000	32	96.6468							
2	10000000	32	69.3133							
2	10000000	32	69.0735							
2	10000000	32	87.2393							
2	10000000	32	54.668							
2	10000000	32	92.3098							
2	10000000	32	105.73							
3	10000000	32	204.357							
3	10000000	32	151.411							
3	10000000	32	147.048							
3	10000000	32	158.343							
3	10000000	32	157.363							
3	10000000	32	154.375							
3	10000000	32	151.547							
3	10000000	32	153.778							
3	10000000	32	155.368							
3	10000000	32	147.576							
3	10000000	32	149.448							
3	10000000	32	151.04							
3	10000000	32	147.852							
3	10000000	32	142.259							
3	10000000	32	144.573							
3	10000000	32	149.772							
3	10000000	32	150.297							
3	10000000	32	155.084							
3	10000000	32	149.577							
3	10000000	32	148.543							
3	10000000	32	148.304							
3	10000000	32	152.322							
3	10000000	32	148.966							
3	10000000	32	139.611							
3	10000000	32	148.042							
3	10000000	32	149.561							
3	10000000	32	148.943							
3	10000000	32	148.131							
3	10000000	32	153.752							
3	10000000	32	150.977							
4	10000000	32	17.3242							
4	10000000	32	16.274							
4	10000000	32	15.632							
4	10000000	32	16.6629							
4	10000000	32	16.6441							
4	10000000	32	16.0004							
4	10000000	32	17.4049							
4	10000000	32	17.1381							
4	10000000	32	16.1519							
4	10000000	32	17.1361							
4	10000000	32	17.4364							
4	10000000	32	16.733							
4	10000000	32	16.0291							
4	10000000	32	15.9886							
4	10000000	32	15.2133							
4	10000000	32	17.2975							
4	10000000	32	17.0045							
4	10000000	32	17.2281							
4	10000000	32	16.1475							
4	10000000	32	16.1092							
4	10000000	32	16.3344							
4	10000000	32	16.8261							
4	10000000	32	16.9536							
4	10000000	32	14.1717							
4	10000000	32	16.1533							
4	10000000	32	16.5587							
4	10000000	32	16.9783							
4	10000000	32	16.0885							
4	10000000	32	16.6792							
4	10000000	32	18.2539							
