Strategy	n	k	time (ms)				
1	10000000	32	116.33				
1	10000000	32	48.9937			Strat 1	
1	10000000	32	48.4377			Avg	50.18075667
1	10000000	32	58.4434			STD	12.83546051
1	10000000	32	50.7185			CI	4.593026154
1	10000000	32	49.4751				
1	10000000	32	48.569				
1	10000000	32	48.9309				
1	10000000	32	47.8823			Strat 2	
1	10000000	32	46.7652			Avg	30.69447667
1	10000000	32	49.7008			STD	3.740018523
1	10000000	32	42.1178			CI	1.338323848
1	10000000	32	42.9373				
1	10000000	32	45.7345				
1	10000000	32	50.0419				
1	10000000	32	44.0598			Strat 3	
1	10000000	32	43.7165			Avg	329.5234
1	10000000	32	44.8184			STD	17.55353985
1	10000000	32	47.8152			CI	6.281338141
1	10000000	32	49.5511				
1	10000000	32	47.3266				
1	10000000	32	48.3848			Strat 4	
1	10000000	32	48.8548			Avg	140.2589667
1	10000000	32	48.935			STD	9.08981003
1	10000000	32	46.1089			CI	3.252686975
1	10000000	32	48.5334				
1	10000000	32	46.726				
1	10000000	32	47.5614				
1	10000000	32	48.6488				
1	10000000	32	49.3039				
2	10000000	32	30.9623				
2	10000000	32	30.842				
2	10000000	32	31.2285				
2	10000000	32	31.9762				
2	10000000	32	30.856				
2	10000000	32	32.6984				
2	10000000	32	31.4527				
2	10000000	32	31.5965				
2	10000000	32	31.1821				
2	10000000	32	34.7594				
2	10000000	32	28.072				
2	10000000	32	24.7556				
2	10000000	32	26.2077				
2	10000000	32	28.6779				
2	10000000	32	30.5991				
2	10000000	32	24.5289				
2	10000000	32	33.928				
2	10000000	32	24.4357				
2	10000000	32	45.6257				
2	10000000	32	30.8995				
2	10000000	32	30.1432				
2	10000000	32	30.1494				
2	10000000	32	32.1887				
2	10000000	32	31.0694				
2	10000000	32	30.024				
2	10000000	32	31.0521				
2	10000000	32	30.3327				
2	10000000	32	30.1757				
2	10000000	32	30.3189				
2	10000000	32	30.096				
3	10000000	32	405.719				
3	10000000	32	331.645				
3	10000000	32	332.556				
3	10000000	32	334.368				
3	10000000	32	343.031				
3	10000000	32	327.928				
3	10000000	32	346.199				
3	10000000	32	325.223				
3	10000000	32	326.225				
3	10000000	32	327.857				
3	10000000	32	309.239				
3	10000000	32	308.527				
3	10000000	32	332.116				
3	10000000	32	322.428				
3	10000000	32	328.013				
3	10000000	32	308.968				
3	10000000	32	314.458				
3	10000000	32	313.739				
3	10000000	32	328.709				
3	10000000	32	347.704				
3	10000000	32	329.701				
3	10000000	32	330.955				
3	10000000	32	329.099				
3	10000000	32	343.142				
3	10000000	32	322.673				
3	10000000	32	323.86				
3	10000000	32	324.786				
3	10000000	32	319.833				
3	10000000	32	323.946				
3	10000000	32	323.055				
4	10000000	32	140.796				
4	10000000	32	138.11				
4	10000000	32	149.129				
4	10000000	32	139.665				
4	10000000	32	139.902				
4	10000000	32	139.531				
4	10000000	32	140.995				
4	10000000	32	137.912				
4	10000000	32	138.789				
4	10000000	32	136.706				
4	10000000	32	135.343				
4	10000000	32	136.532				
4	10000000	32	132.661				
4	10000000	32	145.038				
4	10000000	32	144.431				
4	10000000	32	180.715				
4	10000000	32	157.163				
4	10000000	32	135.346				
4	10000000	32	138.322				
4	10000000	32	135.557				
4	10000000	32	139.208				
4	10000000	32	136.788				
4	10000000	32	136.369				
4	10000000	32	138.545				
4	10000000	32	138.933				
4	10000000	32	135.457				
4	10000000	32	134.22				
4	10000000	32	133.657				
4	10000000	32	133.805				
4	10000000	32	138.144				
