Strategy	n	k	time (ms)				
1	10000000	5000000	119.554				
1	10000000	5000000	59.6357				
1	10000000	5000000	60.3858				
1	10000000	5000000	58.0181				
1	10000000	5000000	72.1497				
1	10000000	5000000	62.5329				
1	10000000	5000000	51.0951				
1	10000000	5000000	47.2439				
1	10000000	5000000	50.6558				
1	10000000	5000000	55.9749			Strat 1	
1	10000000	5000000	55.5187			Average	62.31981333
1	10000000	5000000	49.0599			STD	12.56507646
1	10000000	5000000	48.4287			CI	4.496272243
1	10000000	5000000	59.2912				
1	10000000	5000000	66.0208				
1	10000000	5000000	63.7507				
1	10000000	5000000	64.4978				
1	10000000	5000000	58.1976				
1	10000000	5000000	60.4129				
1	10000000	5000000	66.4285				
1	10000000	5000000	66.4517				
1	10000000	5000000	64.4165				
1	10000000	5000000	61.983				
1	10000000	5000000	64.518				
1	10000000	5000000	63.3239				
1	10000000	5000000	62.1864				
1	10000000	5000000	64.0371				
1	10000000	5000000	59.9634			Strat 2	
1	10000000	5000000	60.3576			Average	35.20816
1	10000000	5000000	73.5041			STD	4.97400928
2	10000000	5000000	52.3709			CI	1.779893655
2	10000000	5000000	33.9625				
2	10000000	5000000	33.3933				
2	10000000	5000000	34.9651				
2	10000000	5000000	39.1287				
2	10000000	5000000	33.1487				
2	10000000	5000000	27.8344				
2	10000000	5000000	26.5123				
2	10000000	5000000	31.5065				
2	10000000	5000000	32.0423				
2	10000000	5000000	30.2041				
2	10000000	5000000	26.9294				
2	10000000	5000000	28.0358				
2	10000000	5000000	34.8301			Strat 3	
2	10000000	5000000	38.0699			Average	704.2187
2	10000000	5000000	34.8212			STD	45.49732192
2	10000000	5000000	36.1455			CI	16.28070839
2	10000000	5000000	34.4813				
2	10000000	5000000	39.1784				
2	10000000	5000000	35.8401				
2	10000000	5000000	34.8383				
2	10000000	5000000	36.4133				
2	10000000	5000000	38.2431				
2	10000000	5000000	35.5893				
2	10000000	5000000	36.7972				
2	10000000	5000000	34.7797				
2	10000000	5000000	38.8405				
2	10000000	5000000	38.5882				
2	10000000	5000000	39.9166				
2	10000000	5000000	38.8381				
3	10000000	5000000	733.034			Strat 4	
3	10000000	5000000	671.328			Average	1033.177133
3	10000000	5000000	671.996			STD	86.51402059
3	10000000	5000000	735.05			CI	30.9580758
3	10000000	5000000	750.116				
3	10000000	5000000	678.539				
3	10000000	5000000	676.178				
3	10000000	5000000	697.31				
3	10000000	5000000	686.697				
3	10000000	5000000	687.589				
3	10000000	5000000	660.521				
3	10000000	5000000	632.923				
3	10000000	5000000	635.734				
3	10000000	5000000	705.827				
3	10000000	5000000	699.955				
3	10000000	5000000	696.961				
3	10000000	5000000	666.678				
3	10000000	5000000	684.86				
3	10000000	5000000	705.141				
3	10000000	5000000	720.034				
3	10000000	5000000	710.872				
3	10000000	5000000	706.01				
3	10000000	5000000	695.503				
3	10000000	5000000	709.409				
3	10000000	5000000	711.809				
3	10000000	5000000	762.473				
3	10000000	5000000	727.823				
3	10000000	5000000	709.094				
3	10000000	5000000	708.616				
3	10000000	5000000	888.481				
4	10000000	5000000	1004.63				
4	10000000	5000000	979.623				
4	10000000	5000000	985.08				
4	10000000	5000000	1272.54				
4	10000000	5000000	983.005				
4	10000000	5000000	987.555				
4	10000000	5000000	1004.7				
4	10000000	5000000	982.054				
4	10000000	5000000	998.88				
4	10000000	5000000	941.027				
4	10000000	5000000	890.514				
4	10000000	5000000	882.792				
4	10000000	5000000	950.618				
4	10000000	5000000	1019.08				
4	10000000	5000000	1032.76				
4	10000000	5000000	1033.82				
4	10000000	5000000	994.82				
4	10000000	5000000	987.626				
4	10000000	5000000	1152.01				
4	10000000	5000000	1035.75				
4	10000000	5000000	1052.49				
4	10000000	5000000	1058.34				
4	10000000	5000000	1045.11				
4	10000000	5000000	1040.24				
4	10000000	5000000	1173.57				
4	10000000	5000000	1099.03				
4	10000000	5000000	1049.9				
4	10000000	5000000	1008.93				
4	10000000	5000000	1209.12				
4	10000000	5000000	1139.7				
